quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender,additional_info
"This is a quote on the topic 'Economic' with tags [Deskilling, Work] from a male permanent migrant age group 30-55, from Turkey. Interview done in Italy.",Economic,"Deskilling, Work",Italy,permanent,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Work] from a male permanent migrant age group 30-55, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration, Discrimination] from a male seasonal migrant age group 18-25, from Austria. Interview done in Italy.",Social,"Integration, Discrimination",Italy,seasonal,18-25,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Discrimination] from a male seasonal migrant age group 18-25, from Austria. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Integration, Language] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy.",Social,"Integration, Language",Italy,permanent,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Language] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Work, Income] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Germany.",Economic,"Work, Income",Germany,seasonal,55-70,Turkey,male,"This is an additional context info to the quote on topic 'Economic' with tags [Work, Income] from a male seasonal migrant age group 55-70, from Turkey. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Integration] from a female permanent migrant age group 18-25, from Austria. Interview done in Germany.",Social,Integration,Germany,permanent,18-25,Austria,female,"This is an additional context info to the quote on topic 'Social' with tags [Integration] from a female permanent migrant age group 18-25, from Austria. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Education] from a male permanent migrant age group 30-55, from Turkey. Interview done in Italy.",Social,Education,Italy,permanent,30-55,Turkey,male,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a male permanent migrant age group 30-55, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Work, Income] from a female permanent migrant age group 18-25, from Poland. Interview done in Italy.",Economic,"Work, Income",Italy,permanent,18-25,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Work, Income] from a female permanent migrant age group 18-25, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Deskilling, Work] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy.",Economic,"Deskilling, Work",Italy,permanent,18-25,Turkey,female,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling, Work] from a female permanent migrant age group 18-25, from Turkey. Interview done in Italy."
"This is a quote on the topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Austria.",Social,Education,Austria,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Austria.",Social,Education,Austria,permanent,55-70,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Education] from a female permanent migrant age group 55-70, from Poland. Interview done in Austria."
"This is a quote on the topic 'Social' with tags [Discrimination] from a female seasonal migrant age group 30-55, from Poland. Interview done in Italy.",Social,Discrimination,Italy,seasonal,30-55,Poland,female,"This is an additional context info to the quote on topic 'Social' with tags [Discrimination] from a female seasonal migrant age group 30-55, from Poland. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Deskilling] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy.",Economic,Deskilling,Italy,permanent,55-70,Austria,male,"This is an additional context info to the quote on topic 'Economic' with tags [Deskilling] from a male permanent migrant age group 55-70, from Austria. Interview done in Italy."
"This is a quote on the topic 'Economic' with tags [Job security, Income] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany.",Economic,"Job security, Income",Germany,seasonal,30-55,Austria,female,"This is an additional context info to the quote on topic 'Economic' with tags [Job security, Income] from a female seasonal migrant age group 30-55, from Austria. Interview done in Germany."
"This is a quote on the topic 'Social' with tags [Integration, Discrimination] from a male permanent migrant age group 30-55, from Austria. Interview done in Germany.",Social,"Integration, Discrimination",Germany,permanent,30-55,Austria,male,"This is an additional context info to the quote on topic 'Social' with tags [Integration, Discrimination] from a male permanent migrant age group 30-55, from Austria. Interview done in Germany."
"This is a quote on the topic 'Economic' with tags [Work] from a female seasonal migrant age group 18-25, from Poland. Interview done in Italy.",Economic,Work,Italy,seasonal,18-25,Poland,female,"This is an additional context info to the quote on topic 'Economic' with tags [Work] from a female seasonal migrant age group 18-25, from Poland. Interview done in Italy."
