quote,topic_main,topic_additional,interview_location,migration_type,age_group,birth_location,gender
"My mother had an operation, her eye hurt very badly, very badly. And we went to see a doctor here in Olesno, to an ophthalmologist, and she suggested, looked, said that you have a very high risk that she may go blind, because the very high intraocular pressure, the first and second, the nerve is thinned by 20%, oh, I mean 20% of the nerve remains. And accordingly, at any moment, any wrong movement is sharp and she will simply go blind. That's why she gave an urgent direction to Wroclaw, and we accordingly... And we went to Wroclaw, to a paid clinic here, and I understand that Poland is very practiced, there is private practice and patients are served first by hospitals. Therefore, since the situation was critical, already urgent, requiring permission, we were taken. The operation was performed, we waited for a short time, about a month. Well, now it's a difficult rehabilitation period after that, because you have to go to Wroclaw again, it's 2 and a half hours there and 2.5 hours back. Plus, you have to register there at 6:00 a.m., so we have to go to Wrocław and rent an apartment for a day. In the morning, I go to register at 06:00, because if you get there later, you may not get there that day. Well, there are nuances",Social,"Transportation, Health",Poland,forced,50-59,Ukraine,Female
"She lived in a boarding school here, where children study and live. She had rooms, 3 rooms. Where the children lived and studied at the lyceum, they offered us a room, there was a free room, and they told us, if you want, stay here, we will give you a room, well, we stayed and didn’t go anywhere. The three of us lived in that room for a year: me, grandmother and son, and then we found an apartment there. The Poles helped us, and now we are renting an apartment.","Social, Living environment","Housing, Integration",Poland,forced,40-49,Ukraine,Female
"Well, like it or don’t like it, I have to work somewhere. Because there is nowhere to go to work here. It is true, thank God, that the Poles found me a job, that I have been working for a year. Because before that I worked as an intern, I was cleaning at a school. Then they offered me to go and work there for six months. Well, for the money, but they paid half. For example, they were paid a fixed rate there, and I was paid 1448 Polish zlotys, because I was like an intern, and I worked just like them, 8 hours. And I did the same work, it was just so annoying that they work, I work like them. I worked even more than they did. Because I went to work at 11, they came at 12, when I came at 11, I had to pull the grass near the school, sweep it, rake the leaves, I did everything. And they just sat there, then I worked in the yard for another hour, and then I came, I still cleaned the classrooms, and they came to school at 12. And they didn't go to the yard, they didn't do anything. Yes, everyone did their share. It was also so sad that no one helped you, that there was no one in the yard","Social, Economic","Income, Integration, Work/employment",Poland,forced,40-49,Ukraine,Female
"No, not 11th, he's studying at a Ukrainian college, so he's been finishing his studies for 3 years. It's already June, we'll have to work, look for it. There's no such work here. I don't know, but he doesn't want to go to another city, because he says I'll go myself.",Social,Education,Poland,forced,40-49,Ukraine,Female
"He doesn't want to study because he says I don't want to, it's somehow so embarrassing, I don't know, I'm Ukrainian, he says no, I don't want to",Social,Education,Poland,forced,40-49,Ukraine,Female
"I took my grandmother to the doctors and rehabilitated myself. You have to wait in such long lines for rehabilitation. My arm hurt a lot, my elbows hurt, so I made an appointment, in 3 months I have to go in May. I took a picture, and I have something like that, well, something like that is damaged, they said I need to go to rehabilitation.",Social,Health,Poland,forced,40-49,Ukraine,Female
"We have a friend in Poland, and some Poles from work helped him out at night. They found this, like, school for priests in Krakow, right in the center of Krakow, in the middle of the night. I think I told you about it. And they put us up there, we stayed there for two or three days, so they fed us, and, of course, free accommodation. They gave us everything we needed, they helped us. And they found us a family, 20 kilometers outside of Krakow, in Jerzmanowice, who were willing to take in refugees. And that's how we ended up with Sandra. There was this family there—a husband and wife with three grown children. So they were willing to help as much as they could and as long as needed. We stayed with them for about four or five months. And then they also helped us find and rent an apartment in Krakow through relatives, because we couldn't find one ourselves due to the prices, the kaucja, we didn't have that kind of money, of course, even for two people. And she helped us find an apartment through relatives, we helped them do some cosmetic renovations, and they rented it out to us, let's say, for Krakow, for a nominal fee.",Social,"Housing, Integration",Poland,forced,18-29,Ukraine,Female
"Then I started thinking about going back to work. I'm a family doctor by profession. I worked in Ukraine. I think it's been three years since my internship, and yes, there was work. So, I started looking around here to find out how I could get a job as a doctor. I tried inquiring in Krakow, but they were also offering me jobs at the hospitals, but they... Well, they wanted me to have documents, a confirmed diploma, and then they would hire me there eagerly. Also, at the very beginning, everyone there was very afraid of these termed rights to do the job, these temporary ones. No one understood anything, didn't know how it all worked. Basically, I didn't get it in Krakow.",Social,"Income, Integration, Work/employment, Legal barriers",Poland,forced,18-29,Ukraine,Female
"When we were living with a family there in Jerzmanowice, a free basic course started with a Polish language teacher for refugees. So, we went there for more than a couple of months, maybe three. It was just the basics. Then, in June or July, well, in the summer, I found an online medical course for refugee medics. So, I also left my documents, confirmation from when I arrived, my diploma, a photocopy, and there was also a free course for a couple of months, specifically with a medical focus. That's it, and then I learned everything on the job.",Social,"Education, Integration, Language barriers, Work/employment",Poland,forced,18-29,Ukraine,Female
"Let's start with the fact that I was initially struck by the number of refunded tests patients can get for free. They have a much broader range of blood tests than we do. For example, we have morphology, sugar, I don't know, cholesterol, and liver function tests aren't always in question. They also include thyroid function. For men, they can check PSA for prostate cancer. So, there's a wider range of these free tests, which can be done once a year. And if needed, if there are indications, the doctor can prescribe as many as needed. So, if a patient is sick, I can usually prescribe morphology or inflammation tests 3-4 times a year, as needed. And the patient won't have to pay for it. Speaking of medications, there are also a lot of them, despite some Poles complaining, but in general, patients, what do they need? All medications are completely free. In fact, there are also a lot of free medications, including those from reputable companies. If we compare it to Ukraine, well, honestly, at first, there were mostly these refunded medications—I can't remember what they were called in Russian—refunded, compensated. There were some companies there, well, not so much, like health, pharma, and other things, which had more chalk than active ingredients, and these medications didn't really work. Here, however, there are very good companies, all using refunds. And in reality, when it comes to medications, there's no such thing... There are no complaints about any medications, everything always works, antibiotics, I don't know, blood pressure, and so on. We, too, have sometimes encountered problems with certain medications not working, but that simply speaks to the quality of the drugs. What else? Well, the big problem here, of course, is with specialists. That means huge, very long lines to get a free consultation with a specialist. For a cardiologist, the wait is about a year. For an endocrinologist, we're currently booked for 28 years in Olesno. And patients have to go privately, because if it's a new diagnosis, then specialized testing and a specialist consultation are needed. Obviously, you have to pay for specialist consultations. Well, as I've been told, yes, it's quite expensive. About 300 zlotys, give or take, depending on the specialist. 300-400 zlotys plus, that is, you pay for each appointment. But it's expensive.","Social, Economic","Income, Health, Legal barriers",Poland,forced,18-29,Ukraine,Female
"Well, I didn't come to Warsaw, I came straight to Olesno, because my daughter was offered a job here. And here we are together, here is a private house, well, to take care of a woman, a woman with Alzheimer's",Social,"Housing, Integration, Motivations to migrate",Poland,forced,50-59,Ukraine,Female
"My husband resigned from his job, or rather, not exactly resigned, but arranged to take an unpaid leave. And we made the decision to return. Our son had just finished school, it was a Realschule. He was facing the choice of a new school in Germany, meaning either vocational training or first completing the equivalent of high school. But he was actually the driving force behind our decision, because he really liked it here in Poland. He always has.",Social,"Education, Motivations to migrate",Poland,return,50-59,Poland,Female
"RESEARCHER And are you better off living here than in this other part of Holland? INTERVIEWEE I mean, with a partner, yes, it's better, it's just that there's not much work in this area, for example. Well, it's only in this respect that I'm here, but you have to commute somewhere. there's somewhere else to work, but you have to commute, and we don't have a car, I don't have a driving licence, and so on, so it's a bit difficult.","Social, Economic, Living environment","Income, Integration, Work/employment, Belonging",The Netherlands,temporary,35-44,Poland,Female
"If one day my children say, ""We don’t want to stay here anymore, we don’t have any opportunities, they don’t give us anything. Let’s go back to our country,"" then I will take them under my wings and return to my homeland.",Social,Future migration plans,Austria,permanent,60-69,Turkey,Male
"And also that my children want to see me anytime, which is why my children said, ‘Yes, Mum, you stay here' (laughs).","Social, Living environment",Future migration plans,Austria,permanent,50-59,Turkey,Female
"When my husband retires, maybe (..) uh, move back to Turkey or live between here and there. I don’t know yet.","Social, Living environment",Future migration plans,Austria,permanent,40-49,Turkey,Female
"Of course, I know that I won’t be able to work at a bank. Because even if you learn the language, you can’t reach that level of proficiency. But I can do something I already know—accounting",Economic,"Education, Language barriers",Austria,permanent,40-49,Turkey,Female
I changed jobs a lot. I must have worked for about twenty different companies.,Economic,Work/employment,Austria,permanent,60-69,Turkey,Male
"I did private jobs, cleaning jobs, and repaid my friends with the money I earned (MAT6_TR_M65_English Transcript, Pos. 24)","Social, Economic",Work/employment,Austria,permanent,60-69,Turkey,Male
"I can't get my son-in-law a job. (...) We went to two companies, both needed workers, but they didn't hire him because he didn't know the language. I mean, let the man work for a couple of months, at least he could learn German from his colleagues while working.",Economic,"Discrimination, Integration, Language barriers, Work/employment",Austria,permanent,60-69,Turkey,Male
"We are trying to integrate more. For example, (..) we don’t create as much noise, mess, or disturbance as Afghans or Syrians who come from lower educational backgrounds. We are very mindful. But (…) unfortunately, we all get put in the same category. That’s sad.","Social, Living environment","Discrimination, Integration",Austria,permanent,40-49,Turkey,Female
"Now I brought her husband as well, it's been about two months, but we can't get him a job in the factories because he doesn't know the language. (4) There are people from other countries coming here. They find work and start right away, but if your name is Turkish, then you get hidden","Social, Economic","Discrimination, Integration, Language barriers, Work/employment",Austria,permanent,60-69,Turkey,Male
"In my case, I couldn't decide because I was simply too young. I was four years old when I came up here.",Social,Motivations to migrate,Austria,permanent,40-49,Turkey,Male
"What I'm saying is that what I noticed with my wife was that people are closed off. So we foreigners are a bit more open, you know?","Social, Living environment",Integration,Austria,permanent,40-49,Turkey,Male
"But in the end, we bought the house. And my father, at that time, we renovated it and turned it into a four-family house.","Economic, Living environment",Housing,Austria,permanent,40-49,Turkey,Male
"Well, I'm quite happy here, you know, it's much more comfortable, less dangerous, alone the nature.",Living environment,"Nature, Belonging",Austria,permanent,40-49,Turkey,Male
"I prefer the countryside. And you can see it with the children too, I have to say, the children who live in rural areas all speak better German than those who live in big cities. Because there are simply many more of them there.","Social, Living environment","Education, Integration, Language barriers, Belonging",Austria,permanent,40-49,Turkey,Male
"They're growing up very well. That was the advantage of staying here, that my children might have more opportunities because of the low proportion of foreigners in the schools here.","Social, Living environment","Education, Integration, Language barriers, Belonging",Austria,permanent,50-59,Turkey,Male
"I noticed the difference between people who grew up in cities with a migrant background and those of us in rural areas, who didn't have such a hard time integrating. I know what roast pork is, I know when you should eat it.","Social, Living environment","Integration, Belonging",Austria,permanent,30-39,Turkey,Male
"When you look down on me and say, ‘Hey, you're a barbarian and you're so aggressive and she's aggressive,’ then you think to yourself, ‘Why shouldn't I be so aggressive?’ You treat me this way because you want to see me this way, because you're not used to anything else.","Social, Living environment",Discrimination,Austria,permanent,18-29,Austria,Male
"There are actually so many job opportunities for men. I don't think there are as many for women. For example, if a woman has three children, she can't work three shifts in a company.","Social, Economic","Discrimination, Work/employment",Austria,permanent,18-29,Austria,Female
"For example, there could be a few more job opportunities for women. Because town X isn't that big. And some women don't have a driving licence either, and it's difficult when you have two or three children.","Social, Economic, Living environment","Integration, Transportation, Work/employment",Austria,permanent,18-29,Austria,Female
"My husband was born in Turkey and went to high school in Turkey. During a summer holiday, he came here through his uncle. Then, (...) he started working small jobs and eventually got a work permit and stayed here.","Social, Economic","Income, Work/employment, Legal barriers, Motivations to migrate",Austria,permanent,40-49,Turkey,Female
"Ultimately, when you go there, no matter what degree you have, you're an unqualified worker. You know one thing: teaching. I could have been a teacher there. As luck would have it, they were looking for an elementary school teacher there. It was that straightforward. You put your diploma on the table. It's not like in Turkey. Okay, there are pedagogical things. There's education and so on. I had them translated. They're still there. They say it's all well and good. They say you're trained for secondary school. They say they can't hire you as an elementary school teacher.",Economic,Work/employment,Turkey,return,60-69,Turkey,Male
"MIGRANT: She didn't work there. She was a housewife. She didn't do much, really. Back then, whether they were from our Maraş, or Yozgat, or Karaman, people from these conservative families, well, it wasn't really seen as appropriate for them to work there.INTERVIEWER: Yes, women working.MIGRANT: They didn't look kindly on women working.","Social, Economic",Work/employment,Turkey,return,60-69,Turkey,Male
"The order there is very good. No. I don't know if it's because we saw it. I had a problem six weeks ago. No, I mean, (laughs) …Honestly, I don't like it, I don't know. Now the patient comes to the doctor, and he takes the other patient to you….No, my problem is, my doctor, my illness, the person next to me... I don't want them to know. I don't want them to know….Privacy is my thing... It was my gynecological thing. I just don't want it. No.",Social,Health,Turkey,return,50-59,Turkey,Female
"I remember a lot because, I don't know if you'd call it traumatic, but after we moved here, my childhood was spent constantly missing that place. Constantly missing it. Because there were so many things here that weren't there. You know, Karaman is a small town, and in 2007, it really wasn't a developed city at all…was like a village, and even though I was a child, we came to Karaman from a metropolis like Amsterdam. It was very difficult even for a nine-year-old child, I can say that. I was bored, I missed my friends there, I missed going out. Because we used to go out a lot with my dad there. I don't know, because it was a big city, our house was very close to Amsterdam's central station. Whenever we got bored, we would go out. We would take the tram, the metro. We would go on trips. To all kinds of different places in Amsterdam. Then I came here. There weren't even buses in Karaman. I mean, there weren't even municipal buses. There are these local minibuses, but that's about it. There was nowhere you could go like that. I mean, things that interest a child in the Netherlands, like entertainment, going out, parks, and then eating and drinking, where the range of food and drink in the markets is very, very wide, huge, different…","Social, Living environment","Transportation, Belonging",Turkey,return,18-29,Turkey,Female
"INTERVIEWER: Oh! Really? Teachers, right. They hit us with rulers. MIGRANT: There was beating, yes. And I was the first to arrive, I cried all summer about it. Here, the teachers beat us. I was really scared they would beat me too…Well, in Holland, for example, it's definitely completely forbidden. Because of that, I was put in the class of a teacher who was famous for beating students….It was a female teacher, but she was like that, how should I put it, she was a good woman, but she never forgave those who didn't do their homework. Or she would slap the cheeks of those who misbehaved…I was really scared of her like that. (laughs). She really frightened me, you know.",Social,"Education, Integration",Turkey,return,18-29,Turkey,Female
"MIGRANT: Let me put it this way, when I think about it, right now I have a few options, you know, going back to the Netherlands might be nice for me, but I'm not quite sure where to start. For example, I studied Social Services, but I don't know what kind of job I could find if I applied for social services there. I'm not very knowledgeable about the field I studied, I'm not really familiar with it. I didn't really enjoy studying it. INTERVIEWER: Actually, there's a great need for your field of study in the Netherlands. especially in immigration offices, someone who knows Turkish, Dutch, English, and is Muslim. You know, there's a lot of irregular migration. There are many job opportunities for social service specialists there. MIGRANT: Actually, I need to research this in a bit more detail.","Economic, Living environment","Education, Work/employment, Future migration plans",Turkey,return,18-29,Turkey,Female
"INTERVIEWER: Didn't you ever think about not coming back? MIGRANT: To Turkey. Do you know what my husband said after that? He said, “Well, maybe if we can't do this farming thing, we'll just go back. We'll settle in Konya. You can work at the hospital.”…That's Plan B. My sister, we came, we looked at farming, there will be problems. Because my wife isn't very sure. Can she do it, can't she? It's been 17 years…Seventeen years lost. What happened in those 17 years, what developed here? It's not like he left and everything developed and became easier, but he doesn't know that. Maybe he said he couldn't do it. We'll implement Plan B. We'll go to Konya. One of my sisters-in-law is in Konya. We'll go to Konya and settle there. You'll go to the hospital. I'll do something too. Maybe we'll open our own place. A kebab shop.",Economic,"Work/employment, Motivations to migrate",Turkey,return,40-49,Turkey,Female
"My brother-in-law used to bring a bicycle back then. He came by car a lot. He's my sister-in-law's husband. I said, let's get a bicycle from my brother-in-law [her husband's name]. He takes the child to and from school. There's a distance. There's a distance. I love that girl, she's bursting with energy here. I'm in the village. Mom, enough, it makes me so angry. I don't know, water bursts there, they dig there, it gets muddy. I sat down and cried. I sat down and cried out of anger... My mom was like that too. They were changing our things, our lines. We came a year later, they were changing the lines, they dug up everything. The bike, I don't know, I think it's like the soil there. You ride the bike on top of the soil there. It doesn't stick... I put [her daughter's name] on it and came, oh my, something happened to your wheel... Then I threw the bike with the wheel, sat there, and started crying. My mom and dad were watching me from the balcony. My mom said, “Oh dear, what happened?” My dad said, “She'll get used to it, she'll get used to it. She'll get used to these difficulties. She came, but she'll get used to it.”",Living environment,"Integration, Transportation",Turkey,return,40-49,Turkey,Female
"We couldn't save any money. It was very difficult. I told my wife, one day I want to go back. Because a law had been passed in the Netherlands. They passed a law called the 45-year-old law. They said we would give a salary of 600 euros to those who returned to Turkey. Or there were a few other countries too. I wanted to take advantage of such an opportunity. I said, I gathered the kids. Look, we want to return to Turkey. If you want to come, come with us. If you don't want to come, we'll find a way to settle you here, and we'll go like that. I thought the economy here would be better, that it would be easier. That was our plan, our program... Because 2014 was ending, we had to finish before 2014. More precisely, we had to apply before 2014. And I called him. The kids said, “Dad, you're right.” May God be pleased. If we were in your place, we would have gone too. Because if life here is going to be better, why should I wait for that?",Economic,"Income, Legal barriers, Motivations to migrate",Turkey,return,60-69,Turkey,Male
"We wanted our graves to be here. But whenever the grave is there... I have a nephew. Third generation, you see. Uncle, I want to stay here, he said. In fact, recently a nephew of mine. My nephew's son passed away, so we buried him there too. He stayed there... There... There's a Muslim cemetery... In Rotterdam. It opened, so we moved him there. Now in Germany... Older Muslims have passed away too. I have a high school friend who passed away. He's being buried in Germany too, not coming here. He said my kids won't come to Turkey anymore. I told my nephew, son, your father is here, your grandmother, your grandfather are here. My uncle said, “All my children are here; they won't come.” His wife isn't from Karaman anyway. She's there too. That's why I'm from Karaman; I even married from the village, knowingly and willingly. I said if we marry from outside, she'll pull us there, and this will pull us here.",Social,"Integration, Belonging",Turkey,return,70+,Turkey,Male
"For example, we don't come here to shop. We go to Kayseri. Kayseri is close to here. I buy this for 50 TL in Kayseri. I come here, and it's 200 TL. Because there's a difference of about 150 TL. Okay, their money gains value when they come here, but they also say, “Why should we always spend all our money here?” Then they go elsewhere. But if this price stayed the same, this place would develop much more. Because, as I said, there are a lot of Germans in Akdağmadeni, and when they come, they leave all their euros, foreign currency, everything here. Because one person who comes can easily spend 10,000 euros and leave. Well, what happens is, this benefits us. If they didn't mess with people's things like that, as I said, Akdağmadeni would really rise above its district status. It would grow a lot. It would grow like Sivas. Like that. But as I said, the people in Akdağmadeni are hungry, so to speak, because they are a little behind, so we can sell it at a slightly higher price and make a better profit. But if they sold it at a lower price, they would have more opportunities, but they don't know that. So, I don't know, maybe that's why they contribute.",Economic,Discrimination,Turkey,return,30-39,Turkey,Female
"MIGRANT: Exactly, of course. When I came here, I didn't know much Turkish. Now I'm used to the language there. (laughs) INTERVIEWER: I'm curious about that. That's why they enrolled him in 8th grade. So what did you do about Turkish here? Did you go to a course or something? Did you take extra classes? Private lessons?MIGRANT: No, I definitely didn't take any because I was with my friends at school. For example, I didn't know what a pen was. I'd ask my friends, “What do you call this?” and they'd make fun of me.",Social,"Education, Language barriers",Turkey,return,18-29,Turkey,Male
"So did I want to go? Well, yes, we wanted to go. I didn't have this huge desire to go. I mean, I never said, “I absolutely have to go.” But since our dad was there, and our folks went, we went too, taking that opportunity. I had already seen it in movies, you know, Hollywood movies, European movies. The houses are beautiful, the roads are beautiful. The landscaping is done. The surroundings were beautiful. When I landed there, it was like a postcard in my mind. Seeing it shaped my mind about that place forever. I never wanted to stay there anyway. I just wanted to find an opportunity to come back. I went. I landed at the airport and shaped that place in my mind on the way home. After forming that image, how do I return? Translated with DeepL.com (free version)",Social,"Integration, Motivations to migrate",Turkey,return,40-49,Turkey,Male
"Those mosques are quite active there, very active. Especially in keeping Muslim youth there...But they're succeeding at it. They didn't want that place. There were attacks on the mosques there. They would leave pig heads there, you know. A lot of things were happening. No matter how moderate they seem... They're not, you know. Generally speaking, they're not. They don't want foreigners there.",Social,Discrimination,Turkey,return,50-59,Turkey,Male
"So if you want to learn, you do it; if you don't want to learn, you don't. What else did he do? He trusted us. He's getting his daughter married, his son is helping. They take them to the hospital, there. But now we go ourselves, for example. I don't need my children. Right now, even when it comes to German. I can at least manage on my own.",Social,"Integration, Language barriers",Turkey,return,50-59,Turkey,Female
"Do you know what happened to us? We retired. I said, actually, I went to a psychologist there. The psychologist was Turkish. He said to me, “When you retire, have you ever thought about going to Turkey?” I said, “Why?” He said, “Because you're so much better after you come from Turkey.” He said, “I see you're doing well then. I think you should consider this.” He said, “Think about it.” Then, well, I retired. I retired first. Then, was it a year after me? Two years later. It's been two years since my wife retired too. After my wife retired, we said, “What should we do? What should we do?” Let's give it a try. Let's build a house here…",Social,"Housing, Health, Motivations to migrate",Turkey,return,50-59,Turkey,Female
"I don't think their friends react much, but I don't think their teachers are right either, actually, their teachers aren't much either. I mean, sometimes they can do things to the child, consciously or unconsciously. Would you leave Europe and come here? Why did your father make such a mistake? For the future. Just like you said. They usually say these kinds of things to children. And of course, the kids repeat this at home.",Social,"Education, Integration",Turkey,return,40-49,Turkey,Male
"We lived together like that for 4-5 years. That's also a big problem. You can't find houses like the ones in Turkey, which are 120 or 150 square meters. There's no such thing. Even if you find such houses, your salary won't be enough. Maybe two people's salaries would be enough. The average size of houses here is over 40 to 60 square meters…The house my father stayed in was big. It was 75 square meters. So it was a bit above average. We stayed there together for about 5-6 years. Then we separated the houses.",Social,Housing,Turkey,return,40-49,Turkey,Male
"We are building here….Iron in the construction sector. We always give checks at the place where we shop, or we borrow something. We pay the check a month later. We definitely pay the money. The guy here says I can't buy the iron upfront. I can't buy on credit, I buy upfront. You have to pay upfront. It's not like we're building just one construction project here. I have seven construction projects in my village. I have four or five construction projects here. I have 32 apartments here, 21 apartments up there. I have them here and there. Now the system here is broken. That's why we're struggling here…Now they've passed another law. They won't give any iron without collecting the tax on it, meaning without collecting the value-added tax. At least they'll collect that…The tax goes to the state too. Are they mixing the other one with the transfer, or with the paperwork? That's how it is. That's how it is. The system here isn't good. It's not getting better. If a system were established here, Turkey...","Social, Economic","Integration, Work/employment",Turkey,return,60-69,Turkey,Male
".. There would be reactions from foreigners and such. For example, once I went to the market. The market was next to my house. I don't speak German. The children are small…I raised both of them. They were little. The toilet paper was on the floor like this. They had climbed on top of it. I was shopping and didn't see it. Then an Austrian foreigner came up behind me. He was saying something. But I could tell from his face that he was saying bad things to me. I didn't understand. After that... I was right next to my house, really. I immediately went to my upstairs neighbor, whom I'm close with. There was this young girl [Name]. I called her. I said,…, come here, look. I said, I think she's saying something rude, I don't understand, come here. Thankfully, she came down right away. Then she asked the woman, “What are you saying to my sister?” My sister doesn't speak German, so she didn't understand. She doesn't take care of the children at home, the children step on the napkins, they dirty her feet, do I have to pick up those dirty napkins? My sister said, as you can see, they're like twins, should my sister go shopping or watch them? Then she said, excuse me, but you live with dog poop, [Name] got really angry…She didn't mince his words… She said the bag, you know, toilet paper. You peel the bag and do your thing... They knew we were Turkish, you know, that we were closed off.",Social,"Discrimination, Integration, Belonging",Turkey,return,30-39,Turkey,Female
"Back when we lived in the village, half the village had moved abroad. Even when we were kids, we could tell when they came back because the water supply would run out! The houses would be full, and suddenly, there wasn’t enough water for everyone. When the water stopped, we knew all the expats had returned. That was the change in the village—lack of water.",Living environment,Nature,Austria,permanent,30-39,Turkey,Female
"As you can see, there are trees and greenery everywhere—it’s very peaceful. In the mornings, when I open the balcony door, the sound of birds chirping makes me really happy. If I compare it to my home country, it’s all concrete.",Living environment,Nature,Austria,permanent,30-39,Turkey,Female
"The area we live in is central place x. There are a few Turkish families around us, but there isn’t much of a neighborhood culture here. Everyone is busy with work, and people don’t seem to need much social interaction. I’ve been here for three years, and we don’t have strong relationships with our neighbors. This was difficult for me at first because in Turkey, I had many friends and neighbors. We used to do activities together, go places, chat, and socialize a lot. These things were very important to me. But since moving here, I haven’t had those kinds of experiences. So, I’d say there isn’t much of a community culture here, at least not in place X","Social, Living environment","Housing, Integration",Austria,permanent,30-39,Turkey,Female
"I love my homeland, of course. Turkey is a beautiful country where you can experience all four seasons. But I don’t like Turkey when it comes to women’s and children’s rights. I find it lacking and insufficient. I think there are serious shortcomings in terms of women’s, children’s, and animal rights. That’s why I wouldn’t want my child to live in Turkey either. Because these are important things for a person to have a good life. Women’s rights, human rights, equality for women, the role of women in society, and animal rights—how animals are treated—these things are very important to me.",Social,"Integration, Motivations to migrate",Austria,permanent,30-39,Turkey,Female
"For example, many women now want to train as nursery school teachers. And because they have to pass the B2 German exam, they try, of course. And they don't pass. Then they give up. Then they don't do it anymore. But at the moment, I've heard that there is a severe shortage of workers in (...) in the field of early childhood education, social pedagogy and leisure education, for example. I've heard that there is a severe shortage of workers and problems in this field.","Social, Living environment","Education, Integration, Language barriers, Work/employment, Legal barriers",Austria,permanent,30-39,Turkey,Female
"We travelled a lot with Grandpa [to Turkey], and that's when the first questions came up: ‘Which do you like better, Austria or Turkey?’ I always told the Austrians, ‘No, Turkey is nicer.’ And I always told the Turks, ‘No, Austria is nicer’ (laughs).",Social,"Integration, Belonging",Austria,permanent,18-29,Turkey,Male
"You don't have to mix religions or peoples here, you have to mix humans together. What do all people celebrate together? What can they do? What makes all people happy together? (..) Meat, barbecues (laughs)","Social, Living environment",Integration,Austria,permanent,18-29,Turkey,Male
"So sometimes, when I come home in the evening, I notice that my dad doesn't even close the car door. Why doesn't he do that? Why does he trust the [people in X town] so much? But that's just how it is. You know each other, you know what people are like. So I prefer to live in a place like town x than in a big city like Vienna, where I always have to worry about what will happen to me, what will happen to the things I love, like my family and so on.","Social, Living environment","Integration, Belonging",Austria,permanent,18-29,Turkey,Male
"And when playing football, it never mattered whether you belonged to a particular ethnic group or religion. It was simply a question of: Can you play football or not? Do you want to score goals or do you want to be the goalkeeper?","Social, Living environment",Integration,Austria,permanent,18-29,Turkey,Male
"Yes, after secondary school, it was also said, ‘Hey, I know you're going to be a waiter.’ I never mentioned that I wanted to be a waiter. Maybe I want to be something else. Maybe I want to be a doctor. A solicitor? I don't know. Nothing like that was ever suggested to me.","Social, Living environment","Discrimination, Education",Austria,permanent,18-29,Turkey,Male
"So the older people came with prejudices, but the younger people never really paid any attention to that. They never looked to see if I was Turkish or if I was Muslim. They just looked to see if I wanted to play football with them or if I wanted to play with their cars. That was basically it.","Social, Living environment","Discrimination, Integration",Austria,permanent,18-29,Turkey,Male
"I don't really think it had anything to do with them. I simply believe that Grandpa couldn't find a job in town A. Well, he did. He actually worked in the coal factories, but Grandpa was always so enthusiastic about shoes. So he worked in town B and then at Gabor [shoe factory], where he did that. So he only came to this region because of Gabor.",Economic,"Work/employment, Motivations to migrate",Austria,permanent,18-29,Turkey,Male
"Our goal as a family actually was to earn money and to support our family, who are still down in Turkey. Because if you earned, say, 15,000 schillings, you only kept 5,000 schillings and the other 10,000 went to your family.","Social, Economic","Income, Work/employment, Motivations to migrate",Austria,permanent,18-29,Turkey,Male
"What could be better? So definitely public transport. Where we live, there's maybe a bus every two hours, and after a certain time, there are no more buses.",Living environment,Transportation,Austria,permanent,40-49,Turkey,Male
"So if I ever returned to Turkey, it wouldn't be to Yozgat, but somewhere by the sea, where I could say, for example, I have a house in a small fishing village.",Living environment,Future migration plans,Austria,permanent,40-49,Turkey,Male
"Well, I don't want my children to stay here in this area. I want my children to pursue careers in large corporations, in huge companies, in international companies. And I think that if you want to pursue a career in Austria, you have to go to Vienna at least, or to Europe, or who knows where. Maybe to Germany, Switzerland, London, England, for example.","Social, Economic","Work/employment, Future migration plans",Austria,permanent,40-49,Turkey,Male
"It takes so much time to take the children from A to B. And public transport in Turkey doesn't work as well as it does in Austria. For example, when we moved to Austria and were looking for a flat or a house, one of my criteria was that there had to be a bus stop nearby.",Living environment,Transportation,Austria,permanent,50-59,Turkey,Female
"I think that's something that's generally lacking in Austria, because I find that neighbourly relations are much nicer in Turkey.","Social, Living environment","Housing, Integration",Austria,permanent,50-59,Turkey,Female
"I was somehow unemployable because I had no work experience. After graduating, I went to Turkey [to work as an architect]. I had never worked as an architect in Austria, which meant I had no experience, but I was an academic.",Economic,"Discrimination, Education, Work/employment",Austria,permanent,50-59,Turkey,Female
"I supported the children at school. Of course, they could speak German, but they have never been to school here. This means that all the technical terms that you normally learn at school from the first year of primary school were naturally unfamiliar to my children, because you talk about isosceles triangles in everyday life, for example. They knew about isosceles, but only in Turkish.","Social, Living environment",Language barriers,Austria,permanent,50-59,Turkey,Female
"And then, of course, there is the role of the mother, who naturally has to take on more responsibility for the family, because I wasn't working at the beginning either.",Social,Work/employment,Austria,permanent,50-59,Turkey,Female
"But I didn't live with my uncle, I worked as an au pair. And then I actually learned German. And then I started studying in Graz. And then I kind of stayed. So that wasn't really the plan.","Social, Living environment","Work/employment, Motivations to migrate",Austria,permanent,50-59,Turkey,Female
